                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8034,                 3.2652,                 1.8799,                0.19622,                0.37394,                0.22586,                0.09561,                 1.9436,                 2.9597,                 2.0609,             0.00030164,             0.00030164,             0.00030164
                      2,                 1.6887,                 2.4649,                 1.7769,                0.36294,                0.32283,                0.27052,                0.11664,                 1.9193,                 2.7916,                 2.0978,             0.00059865,             0.00059865,             0.00059865
                      3,                 1.6858,                 2.3432,                 1.7727,                0.37108,                0.43978,                0.39851,                0.16118,                 1.9251,                 2.4204,                   2.11,             0.00088966,             0.00088966,             0.00088966
                      4,                 1.6849,                 2.2314,                 1.7592,                0.35472,                0.55596,                0.42129,                0.20286,                 1.8208,                  2.656,                 2.0707,               0.000882,               0.000882,               0.000882
                      5,                 1.6401,                 2.1337,                 1.7242,                0.47491,                0.56118,                0.51381,                0.22453,                 1.8082,                 2.0594,                 1.9979,               0.000882,               0.000882,               0.000882
                      6,                  1.604,                 1.9975,                 1.6934,                0.59343,                0.47394,                 0.5058,                0.24593,                 1.6852,                 1.8369,                 1.8111,               0.000873,               0.000873,               0.000873
                      7,                 1.6052,                 1.9404,                 1.6884,                0.55039,                0.58778,                0.58384,                0.27732,                 1.7309,                 1.8719,                 1.8451,               0.000864,               0.000864,               0.000864
                      8,                 1.5963,                 1.9006,                 1.6791,                0.50949,                0.47368,                0.49856,                0.21706,                 1.7864,                 1.9865,                 2.0375,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.5728,                 1.8615,                 1.6561,                0.67364,                0.53078,                0.61913,                0.31326,                 1.6489,                 1.7266,                 1.8372,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.5485,                 1.8188,                 1.6559,                 0.5877,                0.52614,                0.60075,                0.32046,                 1.6225,                 1.7624,                 1.7708,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.5409,                 1.7834,                 1.6458,                0.58672,                0.55074,                0.60867,                0.30514,                 1.6919,                 1.7931,                 1.8184,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.5247,                 1.7499,                 1.6285,                0.60327,                0.49505,                0.54808,                 0.2654,                 1.7125,                 1.7914,                  1.921,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.5498,                 1.7768,                 1.6524,                0.68506,                0.58114,                0.62292,                0.31578,                 1.6214,                  1.648,                 1.7329,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.4939,                 1.7115,                 1.6188,                0.62669,                0.61054,                0.64904,                0.31188,                  1.655,                 1.6399,                 1.8259,             0.00080101,             0.00080101,             0.00080101
